RVA,Runtime,Type,Module,Label,Original,EXE_Value
0x30ae2,0x430ae1,Sing,Chassis,???,1.564,1.564
0x30fd4,0x430fd3,Sing,Chassis,???,1.564,1.564
0x314a7,0x4314a6,Sing,Chassis,???,1.273,1.273
0x31987,0x431986,Sing,Chassis,???,1.273,1.273
0x31e67,0x431e66,Sing,Chassis,???,1.273,1.273
0x32357,0x432356,Sing,Chassis,???,1.273,1.273
0x32837,0x432836,Sing,Chassis,???,1.273,1.273
0x2c207,0x42c206,Sing,Chassis,???,1.717,1.717
0x2c6e7,0x42c6e6,Sing,Chassis,???,1.717,1.717
0x2cbc7,0x42cbc6,Sing,Chassis,???,1.717,1.717
0x2d0a7,0x42d0a6,Sing,Chassis,???,1.717,1.717
0x2d57c,0x42d57b,Sing,Chassis,???,1.717,1.717
0x2da5e,0x42da5d,Sing,Chassis,???,1.717,1.717
0x2df27,0x42df26,Sing,Chassis,???,1.717,1.717
0x2e407,0x42e406,Sing,Chassis,???,1.717,1.717
0x2e8e7,0x42e8e6,Sing,Chassis,???,1.717,1.717
0x2edc7,0x42edc6,Sing,Chassis,???,1.717,1.717
0x2f29c,0x42f29b,Sing,Chassis,???,1.717,1.717
0x2f77e,0x42f77d,Sing,Chassis,???,1.717,1.717
0x2fc47,0x42fc46,Sing,Chassis,???,1.717,1.717
0x30137,0x430136,Sing,Chassis,???,1.717,1.717
0x30617,0x430616,Sing,Chassis,???,1.717,1.717
0x30aec,0x430aeb,Sing,Chassis,???,1.717,1.717
0x30fde,0x430fdd,Sing,Chassis,???,1.717,1.717
0x314b7,0x4314b6,Sing,Chassis,???,1.387,1.387
0x31997,0x431996,Sing,Chassis,???,1.387,1.387
0x31e77,0x431e76,Sing,Chassis,???,1.387,1.387
0x32361,0x432360,Sing,Chassis,???,1.387,1.387
0x32841,0x432840,Sing,Chassis,???,1.387,1.387
0x2c211,0x42c210,Sing,Chassis,??? Front Weight (kg),0,0
0x2c6f1,0x42c6f0,Sing,Chassis,??? Front Weight (kg),0,0
0x2cbd1,0x42cbd0,Sing,Chassis,??? Front Weight (kg),0,0
0x2d0b1,0x42d0b0,Sing,Chassis,??? Front Weight (kg),0,0
0x2d58c,0x42d58b,Sing,Chassis,??? Front Weight (kg),0,0
0x2da68,0x42da67,Sing,Chassis,??? Front Weight (kg),0,0
0x2df31,0x42df30,Sing,Chassis,??? Front Weight (kg),0,0
0x2e411,0x42e410,Sing,Chassis,??? Front Weight (kg),0,0
0x2e8f1,0x42e8f0,Sing,Chassis,??? Front Weight (kg),0,0
0x2edd1,0x42edd0,Sing,Chassis,??? Front Weight (kg),0,0
0x2f2ac,0x42f2ab,Sing,Chassis,??? Front Weight (kg),0,0
0x2f788,0x42f787,Sing,Chassis,??? Front Weight (kg),0,0
0x2fc51,0x42fc50,Sing,Chassis,??? Front Weight (kg),0,0
0x30141,0x430140,Sing,Chassis,??? Front Weight (kg),0,0
0x30621,0x430620,Sing,Chassis,??? Front Weight (kg),0,0
0x30afc,0x430afb,Sing,Chassis,??? Front Weight (kg),0,0
0x30fe8,0x430fe7,Sing,Chassis,??? Front Weight (kg),0,0
0x314c1,0x4314c0,Sing,Chassis,??? Front Weight (kg),0,0
0x319a1,0x4319a0,Sing,Chassis,??? Front Weight (kg),0,0
0x31e81,0x431e80,Sing,Chassis,??? Front Weight (kg),0,0
0x3236b,0x43236a,Sing,Chassis,??? Front Weight (kg),0,0
0x3284b,0x43284a,Sing,Chassis,??? Front Weight (kg),0,0
0x2c21b,0x42c21a,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2c6fb,0x42c6fa,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2cbdb,0x42cbda,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2d0bb,0x42d0ba,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2d596,0x42d595,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2da78,0x42da77,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2df3b,0x42df3a,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2e41b,0x42e41a,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2e8fb,0x42e8fa,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2eddb,0x42edda,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2f2b6,0x42f2b5,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2f798,0x42f797,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x2fc5b,0x42fc5a,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x3014b,0x43014a,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x3062b,0x43062a,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x30b06,0x430b05,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x30ff8,0x430ff7,Sing,Chassis,??? Rear Weight (kg),67.3,67.3
0x314cb,0x4314ca,Sing,Chassis,??? Rear Weight (kg),50,50
0x319ab,0x4319aa,Sing,Chassis,??? Rear Weight (kg),50,50
0x31e8b,0x431e8a,Sing,Chassis,??? Rear Weight (kg),50,50
0x3237b,0x43237a,Sing,Chassis,??? Rear Weight (kg),50,50
0x3285b,0x43285a,Sing,Chassis,??? Rear Weight (kg),50,50
0x2ee581,0x6ee580,Sing,Chassis,Fuel - cup/gns Frontal Area,22,22
0x2ee585,0x6ee584,Sing,Chassis,cup plate fuel,13.5,13.5
0x2c225,0x42c224,Sing,Chassis,???,0.1,0.1
0x2c705,0x42c704,Sing,Chassis,???,0.1,0.1
0x2cbe5,0x42cbe4,Sing,Chassis,???,0.1,0.1
0x2d0c5,0x42d0c4,Sing,Chassis,???,0.1,0.1
0x2d5a0,0x42d59f,Sing,Chassis,???,0.1,0.1
0x2da82,0x42da81,Sing,Chassis,???,0.1,0.1
0x2df45,0x42df44,Sing,Chassis,???,0.1,0.1
0x2e425,0x42e424,Sing,Chassis,???,0.1,0.1
0x2e905,0x42e904,Sing,Chassis,???,0.1,0.1
0x2ede5,0x42ede4,Sing,Chassis,???,0.1,0.1
0x2f2c0,0x42f2bf,Sing,Chassis,???,0.1,0.1
0x2f7a2,0x42f7a1,Sing,Chassis,???,0.1,0.1
0x2fc65,0x42fc64,Sing,Chassis,???,0.1,0.1
0x30155,0x430154,Sing,Chassis,???,0.1,0.1
0x30635,0x430634,Sing,Chassis,???,0.1,0.1
0x30b10,0x430b0f,Sing,Chassis,???,0.1,0.1
0x31002,0x431001,Sing,Chassis,???,0.1,0.1
0x314d5,0x4314d4,Sing,Chassis,???,0.1,0.1
0x319b5,0x4319b4,Sing,Chassis,???,0.1,0.1
0x31e95,0x431e94,Sing,Chassis,???,0.1,0.1
0x32385,0x432384,Sing,Chassis,???,0.1,0.1
0x32865,0x432864,Sing,Chassis,???,0.1,0.1
0x2c235,0x42c234,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2c715,0x42c714,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2cbf5,0x42cbf4,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2d0d5,0x42d0d4,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2d5aa,0x42d5a9,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2da8c,0x42da8b,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2df55,0x42df54,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2e435,0x42e434,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2e915,0x42e914,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2edf5,0x42edf4,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2f2ca,0x42f2c9,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2f7ac,0x42f7ab,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x2fc75,0x42fc74,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x30165,0x430164,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x30645,0x430644,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x30b1a,0x430b19,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x3100c,0x43100b,Sing,Chassis,??? Fuel Tank Location,-1.95,-1.95
0x314e5,0x4314e4,Sing,Chassis,??? Fuel Tank Location,-1.6,-1.6
0x319c5,0x4319c4,Sing,Chassis,??? Fuel Tank Location,-1.6,-1.6
0x31ea5,0x431ea4,Sing,Chassis,??? Fuel Tank Location,-1.6,-1.6
0x3238f,0x43238e,Sing,Chassis,??? Fuel Tank Location,-1.6,-1.6
0x3286f,0x43286e,Sing,Chassis,??? Fuel Tank Location,-1.6,-1.6
0x2c23f,0x42c23e,Sing,Chassis,???,0,0
0x2c71f,0x42c71e,Sing,Chassis,???,0,0
0x2cbff,0x42cbfe,Sing,Chassis,???,0,0
0x2d0df,0x42d0de,Sing,Chassis,???,0,0
0x2d5ba,0x42d5b9,Sing,Chassis,???,0,0
0x2da96,0x42da95,Sing,Chassis,???,0,0
0x2df5f,0x42df5e,Sing,Chassis,???,0,0
0x2e43f,0x42e43e,Sing,Chassis,???,0,0
0x2e91f,0x42e91e,Sing,Chassis,???,0,0
0x2edff,0x42edfe,Sing,Chassis,???,0,0
0x2f2da,0x42f2d9,Sing,Chassis,???,0,0
0x2f7b6,0x42f7b5,Sing,Chassis,???,0,0
0x2fc7f,0x42fc7e,Sing,Chassis,???,0,0
0x3016f,0x43016e,Sing,Chassis,???,0,0
0x3064f,0x43064e,Sing,Chassis,???,0,0
0x30b2a,0x430b29,Sing,Chassis,???,0,0
0x31016,0x431015,Sing,Chassis,???,0,0
0x314ef,0x4314ee,Sing,Chassis,???,0,0
0x319cf,0x4319ce,Sing,Chassis,???,0,0
0x31eaf,0x431eae,Sing,Chassis,???,0,0
0x32399,0x432398,Sing,Chassis,???,0,0
0x32879,0x432878,Sing,Chassis,???,0,0
0x2c249,0x42c248,Sing,Chassis,???,-0.05,-0.05
0x2c729,0x42c728,Sing,Chassis,???,-0.05,-0.05
0x2cc09,0x42cc08,Sing,Chassis,???,-0.05,-0.05
0x2d0e9,0x42d0e8,Sing,Chassis,???,-0.05,-0.05
0x2d5c4,0x42d5c3,Sing,Chassis,???,-0.05,-0.05
0x2daa0,0x42da9f,Sing,Chassis,???,-0.05,-0.05
0x2df69,0x42df68,Sing,Chassis,???,-0.05,-0.05
0x2e449,0x42e448,Sing,Chassis,???,-0.05,-0.05
0x2e929,0x42e928,Sing,Chassis,???,-0.05,-0.05
0x2ee09,0x42ee08,Sing,Chassis,???,-0.05,-0.05
0x2f2e4,0x42f2e3,Sing,Chassis,???,-0.05,-0.05
0x2f7c0,0x42f7bf,Sing,Chassis,???,-0.05,-0.05
0x2fc89,0x42fc88,Sing,Chassis,???,-0.05,-0.05
0x30179,0x430178,Sing,Chassis,???,-0.05,-0.05
0x30659,0x430658,Sing,Chassis,???,-0.05,-0.05
0x30b34,0x430b33,Sing,Chassis,???,-0.05,-0.05
0x31020,0x43101f,Sing,Chassis,???,-0.05,-0.05
0x314f9,0x4314f8,Sing,Chassis,???,-0.05,-0.05
0x319d9,0x4319d8,Sing,Chassis,???,-0.05,-0.05
0x31eb9,0x431eb8,Sing,Chassis,???,-0.05,-0.05
0x323a3,0x4323a2,Sing,Chassis,???,-0.05,-0.05
0x32883,0x432882,Sing,Chassis,???,-0.05,-0.05
0x2ee575,0x6ee574,Sing,Chassis,Wheelbase (in),110,110
0x2ee5a5,0x6ee5a4,Sing,Chassis,Wheelbase (in),105,105
0x2ee5c1,0x6ee5c0,Sing,Chassis,Wheelbase (in),112,112
0x2ee5d1,0x6ee5d0,Sing,Chassis,Wheelbase (in),98,98
0x2ee571,0x6ee570,Sing,Chassis,F Track (in),59.5,59.5
0x2ee5bd,0x6ee5bc,Sing,Chassis,F Track (in),60.625,60.625
0x2ee5cd,0x6ee5cc,Sing,Chassis,F Track (in),64,64
0x2ee591,0x6ee590,Sing,Chassis,R Track (in),60.5,60.5
0x2ee5c9,0x6ee5c8,Sing,Chassis,R Track (in),63,63
0x2c253,0x42c252,Sing,Chassis,???,5,5
0x2c733,0x42c732,Sing,Chassis,???,5,5
0x2cc13,0x42cc12,Sing,Chassis,???,5,5
0x2d0f3,0x42d0f2,Sing,Chassis,???,5,5
0x2d5ce,0x42d5cd,Sing,Chassis,???,5,5
0x2daaa,0x42daa9,Sing,Chassis,???,5,5
0x2df73,0x42df72,Sing,Chassis,???,5,5
0x2e453,0x42e452,Sing,Chassis,???,5,5
0x2e933,0x42e932,Sing,Chassis,???,5,5
0x2ee13,0x42ee12,Sing,Chassis,???,5,5
0x2f2ee,0x42f2ed,Sing,Chassis,???,5,5
0x2f7ca,0x42f7c9,Sing,Chassis,???,5,5
0x2fc93,0x42fc92,Sing,Chassis,???,5,5
0x30183,0x430182,Sing,Chassis,???,5,5
0x30663,0x430662,Sing,Chassis,???,5,5
0x30b3e,0x430b3d,Sing,Chassis,???,5,5
0x3102a,0x431029,Sing,Chassis,???,5,5
0x31503,0x431502,Sing,Chassis,???,5,5
0x319e3,0x4319e2,Sing,Chassis,???,5,5
0x31ec3,0x431ec2,Sing,Chassis,???,5,5
0x323ad,0x4323ac,Sing,Chassis,???,5,5
0x3288d,0x43288c,Sing,Chassis,???,5,5
0x2c25d,0x42c25c,Sing,Chassis,??? Weight Balance (%),0.4725,0.4725
0x2c73d,0x42c73c,Sing,Chassis,??? Weight Balance (%),0.483,0.483
0x2cc1d,0x42cc1c,Sing,Chassis,??? Weight Balance (%),0.4725,0.4725
0x2d0fd,0x42d0fc,Sing,Chassis,??? Weight Balance (%),0.4726,0.4726
0x2d5d8,0x42d5d7,Sing,Chassis,??? Weight Balance (%),0.4726,0.4726
0x2dac6,0x42dac5,Sing,Chassis,??? Weight Balance (%),0.4726,0.4726
0x2df7d,0x42df7c,Sing,Chassis,??? Weight Balance (%),0.4703,0.4703
0x2e45d,0x42e45c,Sing,Chassis,??? Weight Balance (%),0.4817,0.4817
0x2e93d,0x42e93c,Sing,Chassis,??? Weight Balance (%),0.4704,0.4704
0x2ee1d,0x42ee1c,Sing,Chassis,??? Weight Balance (%),0.4704,0.4704
0x2f2f8,0x42f2f7,Sing,Chassis,??? Weight Balance (%),0.4704,0.4704
0x2f7e6,0x42f7e5,Sing,Chassis,??? Weight Balance (%),0.4704,0.4704
0x2fc9d,0x42fc9c,Sing,Chassis,??? Weight Balance (%),0.473,0.473
0x3018d,0x43018c,Sing,Chassis,??? Weight Balance (%),0.473,0.473
0x3066d,0x43066c,Sing,Chassis,??? Weight Balance (%),0.4731,0.4731
0x30b48,0x430b47,Sing,Chassis,??? Weight Balance (%),0.4731,0.4731
0x31046,0x431045,Sing,Chassis,??? Weight Balance (%),0.4731,0.4731
0x3150d,0x43150c,Sing,Chassis,??? Weight Balance (%),0.4671,0.4671
0x319ed,0x4319ec,Sing,Chassis,??? Weight Balance (%),0.4672,0.4672
0x31ecd,0x431ecc,Sing,Chassis,??? Weight Balance (%),0.4672,0.4672
0x323c9,0x4323c8,Sing,Chassis,??? Weight Balance (%),0.4674,0.4674
0x328a9,0x4328a8,Sing,Chassis,??? Weight Balance (%),0.4674,0.4674
0x2c1de,0x42c1dd,Long,Chassis,"Wheels (LF, RF, LR, RR)",2,2
0x2c6be,0x42c6bd,Long,Chassis,"Wheels (LF, RF, LR, RR)",2,2
0x2cb9e,0x42cb9d,Long,Chassis,"Wheels (LF, RF, LR, RR)",4,4
0x2d07e,0x42d07d,Long,Chassis,"Wheels (LF, RF, LR, RR)",6,6
0x2d55e,0x42d55d,Long,Chassis,"Wheels (LF, RF, LR, RR)",8,8
0x2defe,0x42defd,Long,Chassis,"Wheels (LF, RF, LR, RR)",2,2
0x2e3de,0x42e3dd,Long,Chassis,"Wheels (LF, RF, LR, RR)",2,2
0x2e8be,0x42e8bd,Long,Chassis,"Wheels (LF, RF, LR, RR)",4,4
0x2ed9e,0x42ed9d,Long,Chassis,"Wheels (LF, RF, LR, RR)",6,6
0x2f27e,0x42f27d,Long,Chassis,"Wheels (LF, RF, LR, RR)",8,8
0x2fc1e,0x42fc1d,Long,Chassis,"Wheels (LF, RF, LR, RR)",9,9
0x3010e,0x43010d,Long,Chassis,"Wheels (LF, RF, LR, RR)",11,11
0x305ee,0x4305ed,Long,Chassis,"Wheels (LF, RF, LR, RR)",13,13
0x30ace,0x430acd,Long,Chassis,"Wheels (LF, RF, LR, RR)",15,15
0x3148e,0x43148d,Long,Chassis,"Wheels (LF, RF, LR, RR)",18,18
0x3196e,0x43196d,Long,Chassis,"Wheels (LF, RF, LR, RR)",20,20
0x31e4e,0x431e4d,Long,Chassis,"Wheels (LF, RF, LR, RR)",22,22
0x3232e,0x43232d,Long,Chassis,"Wheels (LF, RF, LR, RR)",24,24
0x3280e,0x43280d,Long,Chassis,"Wheels (LF, RF, LR, RR)",16,16
0x2c1e3,0x42c1e2,Long,Chassis,"Wheels (LF, RF, LR, RR)",3,3
0x2c6c3,0x42c6c2,Long,Chassis,"Wheels (LF, RF, LR, RR)",3,3
0x2cba3,0x42cba2,Long,Chassis,"Wheels (LF, RF, LR, RR)",5,5
0x2d083,0x42d082,Long,Chassis,"Wheels (LF, RF, LR, RR)",7,7
0x2df03,0x42df02,Long,Chassis,"Wheels (LF, RF, LR, RR)",3,3
0x2e3e3,0x42e3e2,Long,Chassis,"Wheels (LF, RF, LR, RR)",3,3
0x2e8c3,0x42e8c2,Long,Chassis,"Wheels (LF, RF, LR, RR)",5,5
0x2eda3,0x42eda2,Long,Chassis,"Wheels (LF, RF, LR, RR)",7,7
0x2fc23,0x42fc22,Long,Chassis,"Wheels (LF, RF, LR, RR)",10,10
0x30113,0x430112,Long,Chassis,"Wheels (LF, RF, LR, RR)",12,12
0x305f3,0x4305f2,Long,Chassis,"Wheels (LF, RF, LR, RR)",14,14
0x31493,0x431492,Long,Chassis,"Wheels (LF, RF, LR, RR)",19,19
0x31973,0x431972,Long,Chassis,"Wheels (LF, RF, LR, RR)",21,21
0x31e53,0x431e52,Long,Chassis,"Wheels (LF, RF, LR, RR)",23,23
0x2da4a,0x42da49,Long,Chassis,"Wheels (LF, RF, LR, RR)",1,1
0x2f76a,0x42f769,Long,Chassis,"Wheels (LF, RF, LR, RR)",1,1
0x30fca,0x430fc9,Long,Chassis,"Wheels (LF, RF, LR, RR)",1,1
0x3234d,0x43234c,Long,Chassis,"Wheels (LF, RF, LR, RR)",25,25
0x3282d,0x43282c,Long,Chassis,"Wheels (LF, RF, LR, RR)",17,17
0x2ea631,0x6ea630,Sing,Chassis,??? Suspension (in),12,12
0x2ee56d,0x6ee56c,Sing,Chassis,??? Suspension (in),16.5,16.5
0x2ee5b9,0x6ee5b8,Sing,Chassis,??? Suspension (in),18.5,18.5
0x2ea68d,0x6ea68c,Sing,Chassis,??? Ride Height - Suspension (in),11,11
0x2ee5b5,0x6ee5b4,Sing,Chassis,??? Ride Height - Suspension (in),13,13
0x2ee5c5,0x6ee5c4,Sing,Chassis,??? Ride Height - Suspension (in),6.5,6.5
0x2ea50d,0x6ea50c,Sing,Chassis,??? (in),0.25,0.25
0x2ed6c9,0x6ed6c8,Sing,Chassis,??? (in),0.75,0.75
0x2ee599,0x6ee598,Sing,Chassis,??? (in),2.5,2.5
0x2ea455,0x6ea454,Sing,Chassis,???,0,0
0x2ed741,0x6ed740,Sing,Chassis,???,-2,-2
0x2c28f,0x42c28e,Sing,Chassis,???,0.4,0.4
0x2c76f,0x42c76e,Sing,Chassis,???,0.4,0.4
0x2cc4f,0x42cc4e,Sing,Chassis,???,0.4,0.4
0x2d12f,0x42d12e,Sing,Chassis,???,0.4,0.4
0x2d608,0x42d607,Sing,Chassis,???,0.4,0.4
0x2dada,0x42dad9,Sing,Chassis,???,0.4,0.4
0x2dfaf,0x42dfae,Sing,Chassis,???,0.4,0.4
0x2e48f,0x42e48e,Sing,Chassis,???,0.4,0.4
0x2e96f,0x42e96e,Sing,Chassis,???,0.4,0.4
0x2ee4f,0x42ee4e,Sing,Chassis,???,0.4,0.4
0x2f328,0x42f327,Sing,Chassis,???,0.4,0.4
0x2f7fa,0x42f7f9,Sing,Chassis,???,0.4,0.4
0x2fccf,0x42fcce,Sing,Chassis,???,0.4,0.4
0x301bf,0x4301be,Sing,Chassis,???,0.4,0.4
0x3069f,0x43069e,Sing,Chassis,???,0.4,0.4
0x30b78,0x430b77,Sing,Chassis,???,0.4,0.4
0x3105a,0x431059,Sing,Chassis,???,0.4,0.4
0x3153f,0x43153e,Sing,Chassis,???,0.4,0.4
0x31a1f,0x431a1e,Sing,Chassis,???,0.4,0.4
0x31eff,0x431efe,Sing,Chassis,???,0.4,0.4
0x323dd,0x4323dc,Sing,Chassis,???,0.4,0.4
0x328bd,0x4328bc,Sing,Chassis,???,0.4,0.4
0x2c299,0x42c298,Sing,Chassis,???,0.4,0.4
0x2c779,0x42c778,Sing,Chassis,???,0.4,0.4
0x2cc59,0x42cc58,Sing,Chassis,???,0.5,0.5
0x2d139,0x42d138,Sing,Chassis,???,0.35,0.35
0x2d612,0x42d611,Sing,Chassis,???,0.35,0.35
0x2dae4,0x42dae3,Sing,Chassis,???,0.35,0.35
0x2dfb9,0x42dfb8,Sing,Chassis,???,0.4,0.4
0x2e499,0x42e498,Sing,Chassis,???,0.4,0.4
0x2e979,0x42e978,Sing,Chassis,???,0.5,0.5
0x2ee59,0x42ee58,Sing,Chassis,???,0.35,0.35
0x2f332,0x42f331,Sing,Chassis,???,0.35,0.35
0x2f804,0x42f803,Sing,Chassis,???,0.35,0.35
0x2fcd9,0x42fcd8,Sing,Chassis,???,0.4,0.4
0x301c9,0x4301c8,Sing,Chassis,???,0.5,0.5
0x306a9,0x4306a8,Sing,Chassis,???,0.35,0.35
0x30b82,0x430b81,Sing,Chassis,???,0.35,0.35
0x31064,0x431063,Sing,Chassis,???,0.35,0.35
0x31549,0x431548,Sing,Chassis,???,0.4,0.4
0x31a29,0x431a28,Sing,Chassis,???,0.5,0.5
0x31f09,0x431f08,Sing,Chassis,???,0.35,0.35
0x323e7,0x4323e6,Sing,Chassis,???,0.35,0.35
0x328c7,0x4328c6,Sing,Chassis,???,0.35,0.35
0x2ea629,0x6ea628,Sing,Chassis,??? (in),8,8
0x2ee569,0x6ee568,Sing,Chassis,??? (in),-0.51,-0.51
0x2ee58d,0x6ee58c,Sing,Chassis,??? (in),-0.45,-0.45
0x2ee595,0x6ee594,Sing,Chassis,??? (in),-0.72,-0.72
0x2ee59d,0x6ee59c,Sing,Chassis,??? (in),-0.92,-0.92
0x2ee5a1,0x6ee5a0,Sing,Chassis,??? (in),-0.8,-0.8
0x2c2a3,0x42c2a2,Sing,Chassis,???,0,0
0x2c783,0x42c782,Sing,Chassis,???,0,0
0x2cc63,0x42cc62,Sing,Chassis,???,0,0
0x2d143,0x42d142,Sing,Chassis,???,0,0
0x2d61c,0x42d61b,Sing,Chassis,???,0,0
0x2daee,0x42daed,Sing,Chassis,???,0,0
0x2dfc3,0x42dfc2,Sing,Chassis,???,0,0
0x2e4a3,0x42e4a2,Sing,Chassis,???,0,0
0x2e983,0x42e982,Sing,Chassis,???,0,0
0x2ee63,0x42ee62,Sing,Chassis,???,0,0
0x2f33c,0x42f33b,Sing,Chassis,???,0,0
0x2f80e,0x42f80d,Sing,Chassis,???,0,0
0x2fce3,0x42fce2,Sing,Chassis,???,0,0
0x301d3,0x4301d2,Sing,Chassis,???,0,0
0x306b3,0x4306b2,Sing,Chassis,???,0,0
0x30b8c,0x430b8b,Sing,Chassis,???,0,0
0x3106e,0x43106d,Sing,Chassis,???,0,0
0x31553,0x431552,Sing,Chassis,???,0,0
0x31a33,0x431a32,Sing,Chassis,???,0,0
0x31f13,0x431f12,Sing,Chassis,???,0,0
0x323f1,0x4323f0,Sing,Chassis,???,0,0
0x328d1,0x4328d0,Sing,Chassis,???,0,0
0x2c2bf,0x42c2be,Sing,Chassis,???,0,0
0x2c79f,0x42c79e,Sing,Chassis,???,0,0
0x2cc7f,0x42cc7e,Sing,Chassis,???,0,0
0x2d15f,0x42d15e,Sing,Chassis,???,0,0
0x2d626,0x42d625,Sing,Chassis,???,0,0
0x2db0a,0x42db09,Sing,Chassis,???,0,0
0x2dfdf,0x42dfde,Sing,Chassis,???,0,0
0x2e4bf,0x42e4be,Sing,Chassis,???,0,0
0x2e99f,0x42e99e,Sing,Chassis,???,0,0
0x2ee7f,0x42ee7e,Sing,Chassis,???,0,0
0x2f346,0x42f345,Sing,Chassis,???,0,0
0x2f82a,0x42f829,Sing,Chassis,???,0,0
0x2fcff,0x42fcfe,Sing,Chassis,???,0,0
